ID,Name,Age,Date_of_Birth,Email,Salary,Join_Date,Department,Phone,Address,Gender,Marital_Status,Notes,Random_String,Flag,Temp_Code
1,jane smith,,1999.01.12,jane.smithmail,,04/12/2024,Marketing,+1-549-986-2923,"8689 Elm St., Springfield",Male,Widowed,Promoted last year,jq3ppsJJne,yes,
2,David Taylor,,1972.03.03,david.taylor@mail.com,40851.0,12/03/2021,Finance,+1-314-930-6744,"3388 Maple St., Rivertown",Male,Divorced,Great employee,XkZQJ4KsTJ,1,
3,Chris O'Neil,,1988-07-13,chris.oneilemail,74671.0,2020-12-04,Finance,(747) 538-3719,,Male,Single,On probation,W5u2A5,yes,65280
4,Anna-Marie,,1975.06.07,annamarie@mail.com,46006.0,28/09/2021,Support,+1-933-311-1972,,,Married,,1oOLaW,no,
5,Michael Lee,,04/17/1983,michael.lee@mail.com,49358.0,13/01/2022,IT,(387) 711-9827,"3362 Pine Rd., Lakeside",Female,Widowed,On probation,dGtJuRjP98U,,47156
6,Linda Johnson,46.0,1974.12.03,linda.johnson@mail.com,70021.0,2020-11-03,Support,(399) 396-5380,"8375 Cedar Blvd., Springfield",Male,Unknown,,FnryifJdyfFVii,no,74067
7,Susan King,,03/10/1978,susan.king@mail.com,100142.0,08-25-2024,Marketing,(795) 934-2560,"4063 Pine Rd., Hillview",Other,Divorced,Promoted last year,myJI9GpqAQJgz,0,
8,Linda Johnson,56.0,1984.05.30,linda.johnson@email.com,104686.0,2024-12-09,Support,160-383-3078,"3009 Cedar Blvd., Fairview",,Married,,vtKbs9M9Bj,1,18855
9,Jane Smith,32.0,1986/05/15,jane.smith@mail.com,41504.0,2021-08-20,Finance,+1-355-249-6277,"5740 Oak Ave., Lakeside",Female,Single,,5oQjT,yes,64732
10,David Taylor,,1996/07/14,david.taylor,105612.0,06/03/2021,IT,(502) 601-3329,"1580 Pine Rd., Springfield",Other,Single,On probation,gd651Y,yes,50593
11,Jane Smith,,1996.05.20,jane.smith@company.org,104042.0,2025-05-05,HR,742-524-7146,"2769 Elm St., Rivertown",,Single,Needs improvement,vXsDu,1,54279
12,Michael Lee,,,michael.lee@email.com,56483.0,2024/09/24,IT,(913) 887-2525,"3788 Oak Ave., Lakeside",Female,Widowed,,nHUIM9RPx4Gpd,0,72289
13,Robert Brown,60.0,10-06-1979,robert.brown@mail.com,97422.0,2020/05/28,Sales,(384) 811-7046,"8509 Maple St., Springfield",Other,Widowed,Needs improvement,WMdOayq0,1,89391
14,Linda Johnson,,1993.04.22,linda.johnson@email.com,48834.0,2020-05-16,Support,435-695-1040,"2267 Oak Ave., Fairview",Female,Married,,wgs2x8FS4ELfm7I,no,
15,Susan King,37.0,1994.01.07,susan.king@company.org,101993.0,2020/12/03,Marketing,(195) 848-8511,"3766 Pine Rd., Fairview",,Single,Promoted last year,c5sEU,no,
16,Jane Smith,49.0,1982-09-06,jane.smith@company.org,,03-12-2023,Support,(466) 970-2037,"5104 Pine Rd., Hillview",Male,Divorced,Promoted last year,vvMo8,0,68973
17,Jane Smith,34.0,05/26/1995,jane.smith@email.com,112132.0,2024-11-25,Finance,323-539-4470,"5813 Cedar Blvd., Lakeside",,Divorced,,rdpy9966nvyiT,1,29527
18,David Taylor,,1981/11/05,david.taylor@mail.com,40282.0,04-06-2023,Support,948-390-6533,"5050 Elm St., Fairview",Other,Divorced,On probation,7LMooj84uHmiH,no,52626
19,Anna-Marie,57.0,27-04-1990,annamarie@company.org,81104.0,2025-02-16,IT,+1-679-972-8951,"1776 Maple St., Fairview",Male,Married,Promoted last year,1tRGi98i,yes,
20,Anna-Marie,,,annamarie@email.com,,25/01/2025,Engineering,(880) 149-1752,"6231 Elm St., Fairview",Female,Widowed,,4tI6ht2TV2zzB5,yes,91735
21,Jane Smith,,2001.11.05,jane.smith,74179.0,04-21-2024,Marketing,,"4990 Maple St., Hillview",Female,Divorced,,5qWglVLqJooQwQD,,40516
22,Michael Lee,41.0,2000-05-17,michael.lee@company.org,67938.0,08-12-2022,Marketing,116-227-3588,,Female,Single,Needs improvement,0DOlyDkoz856n,1,54433
23,Susan King,37.0,1983.12.22,susan.king@company.org,109329.0,05-28-2025,Finance,+1-538-307-3161,"5427 Pine Rd., Lakeside",,Divorced,Great employee,9Ue591EuCpzcTxt,0,97876
24,Jane Smith,30.0,1998.10.30,jane.smith@mail.com,66685.0,08-06-2021,IT,262-995-5489,"4995 Oak Ave., Rivertown",Female,Single,,6JHNRcgC22pH8c,yes,46356
25,Anna-Marie,,1991-03-21,annamarieemail,97912.0,2022/05/11,IT,,"4037 Maple St., Fairview",Female,Divorced,Needs improvement,FNdsysZCAMd,yes,31707
26,John Doe,,1977.07.02,john.doe@email.com,,2023-05-29,HR,+1-480-780-3711,"5336 Oak Ave., Springfield",Female,Divorced,On probation,4COfFlK3HyubC,no,84972
27,Linda Johnson,28.0,1985.05.26,linda.johnson@email.com,63206.0,2020/07/04,Sales,,"4943 Pine Rd., Hillview",,Widowed,Promoted last year,2fuOSkTf,yes,50481
28,Robert Brown,43.0,07/01/1992,robert.brown@company.org,101694.0,15/03/2024,Support,(816) 873-4836,"678 Elm St., Fairview",Other,Married,Promoted last year,NfRT8LjIcku2,1,26224
29,Anna-Marie,,,annamarie@mail.com,76585.0,2023/06/25,Finance,+1-820-197-1017,"5722 Oak Ave., Fairview",Male,Widowed,,kiVdtT7,1,21161
30,David Taylor,,30-11-1991,david.taylor@mail.com,,2022/02/08,HR,+1-235-707-4705,"7894 Pine Rd., Fairview",Female,Single,Promoted last year,MhimMpC1H,,
31,Susan King,,07-10-1977,susan.king@company.org,110575.0,07/08/2021,HR,109-108-6629,"2885 Elm St., Rivertown",,Divorced,On probation,LEnOC,no,85609
32,Chris O'Neil,43.0,01/15/1998,chris.oneil@company.org,78752.0,05/05/2022,Marketing,810-235-8826,"7813 Oak Ave., Lakeside",Female,Married,Great employee,eLpHMIZdjOc0,1,84743
33,Chris O'Neil,,1990/02/17,chris.oneil@email.com,116019.0,01-18-2022,Engineering,,"9259 Oak Ave., Lakeside",Male,Married,,JLufg9krORJI7Uw,1,72368
34,Anna-Marie,35.0,1996-01-07,annamarie@company.org,70784.0,09-05-2021,Marketing,(925) 204-2690,"3741 Pine Rd., Rivertown",Other,Widowed,,fswxe,no,12446
35,Linda Johnson,,1976-03-17,linda.johnson@company.org,90328.0,2022/09/05,Marketing,240-491-3181,"5131 Cedar Blvd., Lakeside",Other,Single,On probation,0eDh1uznmdJ,no,
36,Robert Brown,,24-10-1993,robert.brown@company.org,72662.0,2020-04-22,Engineering,(246) 170-9691,"9693 Pine Rd., Hillview",Female,Divorced,,GfSLWRA0qJM5MET,no,33559
37,Robert Brown,55.0,1983.10.11,robert.brown@company.org,98446.0,02/06/2020,Finance,(765) 268-8210,"7809 Maple St., Fairview",Male,Single,Needs improvement,ElLR8abMh0X9,no,46039
38,Anna-Marie,37.0,1980/03/31,annamarie@mail.com,70735.0,12-05-2023,HR,+1-743-866-3480,"1266 Cedar Blvd., Rivertown",Female,Divorced,Great employee,cvXnNQpesIV,,42150
39,David Taylor,,10-10-1996,david.taylormail,48161.0,2024/04/16,Engineering,(803) 553-4559,"6353 Elm St., Lakeside",Other,Married,,QvSMbk,yes,85963
40,Emily Clark,23.0,11/07/1987,emily.clark@mail.com,119069.0,01/06/2020,Engineering,,"2570 Oak Ave., Rivertown",,Divorced,Promoted last year,Z5DDcijC13,0,79932
41,Linda Johnson,,1973/08/17,linda.johnson@mail.com,110008.0,2025/04/19,IT,+1-703-847-7291,"9429 Cedar Blvd., Rivertown",,Divorced,,WzUZsStHmQX3,no,62664
